tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp
6976,223021,05/31/2015,4,0,OnCurb,Alive,Good,Prunus,cherry,1or2,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,474 8 STREET,11215,Brooklyn,306,3,Brooklyn,39,44,21,BK37,BK37,3015300,New York,40.66647227,-73.97907844,990054.0661,182090.9088
9722,508989,06/04/2015,12,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1469 EAST AVENUE,10462,Bronx,209,2,Bronx,18,87,32,BX46,BX46,2021200,New York,40.83671956,-73.86081716,1022763.572,244147.4199
6412,225231,05/30/2015,5,0,OnCurb,Alive,Good,Tilia americana,American linden,None,None,NoDamage,Volunteer,"Stones,TrunkOther",Yes,No,No,No,No,Yes,No,No,No,316 SHERMAN STREET,11218,Brooklyn,307,3,Brooklyn,39,44,21,BK40,BK40,3050400,New York,40.65097599,-73.97371898,991542.5815,176445.5809
4865,503013,05/28/2015,5,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,1023 SHERMAN AVENUE,10456,Bronx,204,2,Bronx,16,77,32,BX14,BX14,2018302,New York,40.82978849,-73.91815271,1006900.499,241602.1605
8377,508769,06/02/2015,14,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1525 UNIONPORT ROAD,10462,Bronx,209,2,Bronx,18,87,32,BX46,BX46,2021200,New York,40.83663141,-73.85718558,1023768.524,244116.9222
4065,343982,05/27/2015,5,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,77-017 QUEENS BOULEVARD,11373,Elmhurst,404,4,Queens,25,39,16,QN50,QN50,4048500,New York,40.73869351,-73.88694497,1015579.79,208422.7886
4429,501912,05/27/2015,4,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,3or4,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1236 SPOFFORD AVENUE,10474,Bronx,202,2,Bronx,17,84,32,BX27,BX27,2009300,New York,40.81404719,-73.88946063,1014848.005,235875.7609
1364,316232,05/21/2015,4,0,OnCurb,Alive,Good,Quercus falcata,southern red oak,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,19-011 FRANCIS LEWIS BOULEVARD,11357,Whitestone,407,4,Queens,19,26,11,QN47,QN47,4102900,New York,40.78104198,-73.80310067,1038779.996,223892.7905
5423,503176,05/28/2015,10,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,309 EAST 167 STREET,10456,Bronx,204,2,Bronx,16,77,32,BX14,BX14,2017500,New York,40.83190472,-73.9138121,1008100.965,242374.3349
7660,349775,06/01/2015,6,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,80-016 PARK LANE SOUTH,11385,Ridgewood,409,4,Queens,30,38,12,QN53,QN53,4064102,New York,40.69582638,-73.86319503,1022185.754,192814.3874
7995,219790,06/01/2015,12,0,OnCurb,Alive,Poor,Gleditsia triacanthos var. inermis,honeylocust,1or2,Helpful,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,204 COLUMBIA HEIGHTS,11201,Brooklyn,302,3,Brooklyn,33,52,26,BK09,BK09,3000301,New York,40.69699815,-73.99700937,985079.2815,193211.6901
8364,508769,06/02/2015,20,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1400 EAST AVENUE,10462,Bronx,209,2,Bronx,18,87,32,BX46,BX46,2021200,New York,40.83543772,-73.86059403,1022826.056,243680.4979
6623,222957,05/31/2015,11,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,Helpful,Damage,Volunteer,BranchOther,No,No,No,No,No,No,No,No,Yes,440 12 STREET,11215,Brooklyn,306,3,Brooklyn,39,44,21,BK37,BK37,3015100,New York,40.66453185,-73.98205828,989227.5425,181383.7748
6624,222957,05/31/2015,2,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,Volunteer,"RootOther,BranchOther",No,No,Yes,No,No,No,No,No,Yes,430 12 STREET,11215,Brooklyn,306,3,Brooklyn,39,44,21,BK37,BK37,3015100,New York,40.66456746,-73.98213191,989207.1111,181396.7439
8563,222728,06/02/2015,7,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,91 FORREST STREET,11206,Brooklyn,304,3,Brooklyn,34,53,18,BK78,BK78,3042500,New York,40.7025414,-73.9327519,1002895.896,195238.4042
4248,306377,05/27/2015,3,0,OnCurb,Alive,Good,Prunus,cherry,1or2,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,70-026 165 STREET,11365,Fresh Meadows,408,4,Queens,24,25,16,QN38,QN38,4122701,New York,40.73088198,-73.80417663,1038522.868,205617.2499
6295,217125,05/29/2015,3,0,OnCurb,Alive,Fair,Acer saccharum,sugar maple,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,214 ROSS STREET,11211,Brooklyn,301,3,Brooklyn,33,50,26,BK72,BK72,3053500,New York,40.70669278,-73.95878902,995675.8666,196746.4058
9546,404054,06/03/2015,28,0,OnCurb,Alive,Fair,Acer saccharum,sugar maple,None,None,Damage,TreesCount Staff,"Stones,WiresRope",Yes,No,No,Yes,No,No,No,No,No,12 SILVER LAKE ROAD,10301,Staten Island,501,5,Staten Island,49,61,24,SI35,SI35,5007500,New York,40.63170172,-74.09055443,959115.275,169435.3397
2151,315460,05/22/2015,12,0,OnCurb,Alive,Good,Prunus,cherry,None,None,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,214-010 14 AVENUE,11360,Bayside,407,4,Queens,19,26,11,QN47,QN47,4099703,New York,40.78801252,-73.78026519,1045097.751,226447.4294
5377,503385,05/28/2015,5,0,OnCurb,Alive,Good,Prunus cerasifera,purple-leaf plum,None,None,NoDamage,TreesCount Staff,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No,1001 DR M L KING JR BOULEVARD,10452,Bronx,204,2,Bronx,8,77,29,BX26,BX26,2018900,New York,40.83393369,-73.93074279,1003415.116,243109.4052
6077,512412,05/29/2015,35,0,OnCurb,Alive,Good,Quercus velutina,black oak,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1839 STILLWELL AVENUE,10469,Bronx,211,2,Bronx,13,82,34,BX37,BX37,2028400,New York,40.85879585,-73.83248689,1030587.51,252204.3595
